Timestamp; Irradiance; Heatflux
2014-10-04 21:15:20;   0.1;   0.0
2014-10-04 21:30:20;   0.1;   0.0
2014-10-04 21:45:20;   0.0;   0.0
2014-10-04 22:00:20;   0.0;   0.0
2014-10-04 22:15:20;   0.0;   0.0
2014-10-04 22:30:20;  -0.0;   0.0
2014-10-04 22:45:20;  -0.0;   0.0
2014-10-04 23:00:20;  -0.0;   0.0
2014-10-04 23:15:20;  -0.1;   0.0
2014-10-04 23:30:20;  -0.1;   0.0
2014-10-04 23:45:20;  -0.1;   0.0
2014-10-05 00:00:20;  -0.1;   0.0
2014-10-05 00:15:20;  -0.1;   0.0
2014-10-05 00:30:20;  -0.1;   0.0
2014-10-05 00:45:20;  -0.1;   0.0
2014-10-05 01:00:20;  -0.1;  -0.0
2014-10-05 01:15:20;  -0.1;  -0.0
2014-10-05 01:30:20;  -0.2;  -0.0
2014-10-05 01:45:20;  -0.2;  -0.0
2014-10-05 02:00:20;  -0.2;  -0.0
2014-10-05 02:15:20;  -0.2;  -0.0
2014-10-05 02:30:20;  -0.2;  -0.0
2014-10-05 02:45:20;  -0.1;  -0.0
2014-10-05 03:00:20;  -0.1;  -0.0
2014-10-05 03:15:20;  -0.1;  -0.0
2014-10-05 03:30:20;  -0.1;  -0.0
2014-10-05 03:45:20;  -0.1;  -0.0
2014-10-05 04:00:20;  -0.1;  -0.0
2014-10-05 04:15:20;  -0.1;  -0.0
2014-10-05 04:30:20;  -0.1;  -0.0
2014-10-05 04:45:20;  -0.1;  -0.0
2014-10-05 05:00:20;  -0.1;  -0.0
2014-10-05 05:15:20;  -0.1;  -0.0
2014-10-05 05:30:20;  -0.1;  -0.0
2014-10-05 05:45:20;  -0.1;  -0.0
2014-10-05 06:00:20;  -0.0;  -0.0
2014-10-05 06:15:20;  -0.0;  -0.0
2014-10-05 06:30:20;   0.1;  -0.0
2014-10-05 06:45:20;   0.6;  -0.0
2014-10-05 07:00:20;   3.0;  -0.0
2014-10-05 07:15:20;   7.1;  -0.0
2014-10-05 07:30:20;  11.3;  -0.0
2014-10-05 07:45:20;  19.4;  -0.0
2014-10-05 08:00:20;  29.1;  -0.0
2014-10-05 08:15:20;  36.2;  -0.0
2014-10-05 08:30:20;  45.6;  -0.0
2014-10-05 08:45:20;  58.0;  -0.0
2014-10-05 09:00:20;  69.9;  -0.0
2014-10-05 09:15:20;  96.0;  -0.0
2014-10-05 09:30:20; 110.4;  -0.0
2014-10-05 09:45:20; 125.3;  -0.0
2014-10-05 10:00:20;  95.4;  -0.0
2014-10-05 10:15:20;  85.0;  -0.0
2014-10-05 10:30:20; 114.4;  -0.0
2014-10-05 10:45:20; 386.1;  -0.0
2014-10-05 11:00:20; 340.9;  -0.0
2014-10-05 11:15:20; 361.6;  -0.0
2014-10-05 11:30:20; 284.6;  -0.0
2014-10-05 11:45:20; 374.9;  -0.0
2014-10-05 12:00:20; 388.5;  -0.0
2014-10-05 12:15:20; 403.8;  -0.0
2014-10-05 12:30:20; 391.1;  -0.0
2014-10-05 12:45:20; 388.0;  -0.0
2014-10-05 13:00:20; 391.1;  -0.0
2014-10-05 13:15:20; 313.1;  -0.0
2014-10-05 13:30:20; 425.9;  -0.0
2014-10-05 13:45:20; 481.6;  -0.0
2014-10-05 14:00:20; 354.4;  -0.0
2014-10-05 14:15:20; 338.9;  -0.0
2014-10-05 14:30:20; 317.4;  -0.0
2014-10-05 14:45:20; 300.5;  -0.0
2014-10-05 15:00:20; 278.8;  -0.0
2014-10-05 15:15:20; 257.7;  -0.0
2014-10-05 15:30:20; 233.0;  -0.0
2014-10-05 15:45:20; 212.1;  -0.0
2014-10-05 16:00:20; 198.1;  -0.0
2014-10-05 16:15:20;  43.3;  -0.0
2014-10-05 16:30:20;  44.7;  -0.0
2014-10-05 16:45:20;  26.5;  -0.0
2014-10-05 17:00:20;  32.3;  -0.0
2014-10-05 17:15:20;  14.4;  -0.0
2014-10-05 17:30:20;  11.2;  -0.0
2014-10-05 17:45:20;   3.1;  -0.0
2014-10-05 18:00:20;   0.8;  -0.0
2014-10-05 18:15:20;   0.4;  -0.0
2014-10-05 18:30:20;   0.2;  -0.0
2014-10-05 18:45:20;   0.1;  -0.0
2014-10-05 19:00:20;   0.1;  -0.0
2014-10-05 19:15:20;   0.1;  -0.0
2014-10-05 19:30:20;   0.1;  -0.0
2014-10-05 19:45:20;   0.1;  -0.0
2014-10-05 20:00:20;   0.2;  -0.0
2014-10-05 20:15:20;   0.2;  -0.0
2014-10-05 20:30:20;   0.2;  -0.0
2014-10-05 20:45:20;   0.2;  -0.0
