name of the station;ID-number of the station;ETRS-coordinates east;ETRS-coordinates north;max depth of the station;date;sampling depth;Faecal enterococci (kpl/100ml);Oxygen saturation (kyll.%);Dissolved oxygen (mg/l);Suspended solids, coarse (mg/l);Chlorophyll a (µg/l);Total phosphorous, unfiltered (µg/l);Total nitrogen, unfiltered (µg/l);Coliform bacteria thermotolerant (kpl/100ml);Temperature (°C);Nitrate as nitrogen, unfiltered (µg/l);Nitrate as nitrogen, unfiltered (µg/l);Nitrite nitrate as nitrogen, unfiltered (µg/l);Secchi depth (m);pH  ;Salinity (‰);Turbidity (FNU);Conductivity (mS/m)
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1981 12:00;0,0-2,0;;;;;5.9;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1981 12:00;1,0;0;101;10.4;;;20;790;3;14;;;;;7.4;;2.9;500
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.1981 15:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.1981 15:00;0,0-2,1;;;;;;16;;;;;;;;;;4.3;
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.1981 15:00;1,0;;;;;;;;;17.5;;;;;5.6;;8.2;305
Et kaup selkä 1;5520;227911;7005357;2.4;14.7.1981 12:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;14.7.1981 12:00;0,0-2,0;;;;;2.5;;;;18.7;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;14.7.1981 12:00;1,0;0;93;8.7;;;11;1200;2;18.6;;;;;6.6;;5.1;340
Et kaup selkä 1;5520;227911;7005357;2.4;30.7.1981 14:00;0,0-1,5;;;;;;14;;;;;;;;;;2.6;
Et kaup selkä 1;5520;227911;7005357;2.4;30.7.1981 14:00;0,7;;102;9.3;;;;;;19.9;;;;;7.7;;1.5;550
Et kaup selkä 1;5520;227911;7005357;2.4;11.8.1981 13:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.8.1981 13:00;0,0-2,0;;;;;6.4;;;;18.2;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.8.1981 13:00;1,0;2;98;9.3;;;16;540;20;18;;;;;8.2;;1.5;680
Et kaup selkä 1;5520;227911;7005357;2.4;17.8.1981 10:00;;;;;;;;;;;;;;1.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.8.1981 10:00;1,0;;97;9.5;;;;;;16.2;;;;;7.9;;1.4;645
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.1981 12:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.1981 12:00;1,0;3;95;10.7;;;26;400;25;10.3;;;;;7.7;;3.2;790
Et kaup selkä 1;5520;227911;7005357;2.4;27.1.1982 12:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.1.1982 12:00;1,0;;59;8.5;;;64;;;0.1;;;;;6.2;;2.5;325
Et kaup selkä 1;5520;227911;7005357;2.4;27.1.1982 12:00;1,5;;63;9;;;;;;0.1;;;;;6.4;;2.3;540
Et kaup selkä 1;5520;227911;7005357;2.4;19.3.1982 10:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;19.3.1982 10:00;1,0;;38;5.4;;;60;2000;;0.3;;;;;6.3;;6.6;263
Et kaup selkä 1;5520;227911;7005357;2.4;19.3.1982 10:00;1,5;;40;5.6;;;;;;0.9;;;;;6.5;;4.1;490
Et kaup selkä 1;5520;227911;7005357;2.4;7.6.1982 9:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.6.1982 9:00;0,0-1,5;;;;;16;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.6.1982 9:00;1,0;0;99;10.1;;;32;760;12;13.7;;;;;7.7;;13;404
Et kaup selkä 1;5520;227911;7005357;2.4;20.7.1982 10:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.7.1982 10:00;0,0-1,7;;;;;4.5;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.7.1982 10:00;1,0;0;98;8.8;;;32;310;2;19.1;;;;;7.5;;2.3;755
Et kaup selkä 1;5520;227911;7005357;2.4;16.8.1982 12:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.8.1982 12:00;0,0-1,6;;;;;5.4;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.8.1982 12:00;1,0;6;94;8.9;;;21;970;10;16.8;;;;;7.6;;2.4;820
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.1982 12:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.1982 12:00;1,0;20;95;10.4;;;19;780;15;9.8;;;;;7.7;;2.1;845
Et kaup selkä 1;5520;227911;7005357;2.4;7.2.1983 10:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.2.1983 10:00;0,5;;;9.8;;;;;;-0.1;;;;;6;3.5;5.5;540
Et kaup selkä 1;5520;227911;7005357;2.4;7.2.1983 10:00;1,0;;;11.1;;;;1900;;0;;;;;6.3;3.7;3.8;650
Et kaup selkä 1;5520;227911;7005357;2.4;16.3.1983 13:00;1,0;;64;9.1;;;;920;;0.1;;;;;6.6;4.1;1.2;730
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1983 8:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1983 8:00;0,0-1,7;;;;;6;;;;;;;;;;;;
