timestamp, lat, lon, height
2024-09-10T122915,   69.212389,   15.858568,    6.7
2024-09-10T122916,   69.212389,   15.858566,    7.3
2024-09-10T122917,   69.212388,   15.858563,    7.4
2024-09-10T122918,   69.212388,   15.858557,    7.5
2024-09-10T122919,   69.212387,   15.858553,    7.7
2024-09-10T122920,   69.212388,   15.858556,    7.2
2024-09-10T122921,   69.212388,   15.858556,    7.1
2024-09-10T122922,   69.212388,   15.858556,    7.0
2024-09-10T122923,   69.212387,   15.858551,    7.5
2024-09-10T122924,   69.212387,   15.858548,    7.7
2024-09-10T122925,   69.212387,   15.858548,    7.8
2024-09-10T122926,   69.212387,   15.858549,    7.6
2024-09-10T122927,   69.212387,   15.858549,    7.5
2024-09-10T122928,   69.212387,   15.858549,    7.5
2024-09-10T122929,   69.212387,   15.858549,    7.5
2024-09-10T122930,   69.212387,   15.858549,    7.5
2024-09-10T122931,   69.212387,   15.858549,    7.5
2024-09-10T122932,   69.212387,   15.858549,    7.5
2024-09-10T122933,   69.212387,   15.858549,    7.4
2024-09-10T122934,   69.212387,   15.858549,    7.4
2024-09-10T122935,   69.212387,   15.858549,    7.4
2024-09-10T122936,   69.212387,   15.858549,    7.4
2024-09-10T122937,   69.212387,   15.858549,    7.4
2024-09-10T122938,   69.212387,   15.858549,    7.4
2024-09-10T122939,   69.212386,   15.858535,    7.5
2024-09-10T122940,   69.212386,   15.858536,    7.0
2024-09-10T122941,   69.212386,   15.858537,    6.9
2024-09-10T122942,   69.212386,   15.858537,    6.9
2024-09-10T122943,   69.212386,   15.858537,    6.9
2024-09-10T122944,   69.212386,   15.858537,    6.9
2024-09-10T122945,   69.212386,   15.858537,    6.9
2024-09-10T122946,   69.212386,   15.858537,    6.9
2024-09-10T122947,   69.212386,   15.858537,    6.9
2024-09-10T122948,   69.212386,   15.858537,    6.9
2024-09-10T122949,   69.212386,   15.858537,    6.9
2024-09-10T122950,   69.212386,   15.858537,    6.9
2024-09-10T122951,   69.212386,   15.858537,    6.9
2024-09-10T122952,   69.212386,   15.858537,    6.9
2024-09-10T122953,   69.212386,   15.858543,    7.2
2024-09-10T122954,   69.212386,   15.858543,    7.1
2024-09-10T122955,   69.212386,   15.858543,    7.0
2024-09-10T122956,   69.212386,   15.858543,    7.0
2024-09-10T122957,   69.212386,   15.858544,    7.3
2024-09-10T122958,   69.212386,   15.858544,    7.1
2024-09-10T122959,   69.212387,   15.858545,    7.1
2024-09-10T123000,   69.212387,   15.858545,    7.0
2024-09-10T123001,   69.212387,   15.858545,    7.0
2024-09-10T123002,   69.212386,   15.858542,    7.2
2024-09-10T123003,   69.212386,   15.858541,    7.2
2024-09-10T123004,   69.212386,   15.858542,    6.9
2024-09-10T123005,   69.212386,   15.858542,    6.7
2024-09-10T123006,   69.212386,   15.858542,    6.7
2024-09-10T123007,   69.212386,   15.858542,    6.7
2024-09-10T123008,   69.212386,   15.858542,    6.7
2024-09-10T123009,   69.212386,   15.858542,    6.7
2024-09-10T123010,   69.212386,   15.858542,    6.7
2024-09-10T123011,   69.212386,   15.858542,    6.7
2024-09-10T123012,   69.212386,   15.858543,    7.2
2024-09-10T123013,   69.212386,   15.858543,    7.1
2024-09-10T123014,   69.212386,   15.858543,    7.1
2024-09-10T123015,   69.212386,   15.858543,    7.0
2024-09-10T123016,   69.212386,   15.858543,    7.0
2024-09-10T123017,   69.212386,   15.858543,    7.0
2024-09-10T123018,   69.212386,   15.858543,    7.0
2024-09-10T123019,   69.212386,   15.858543,    7.0
2024-09-10T123020,   69.212386,   15.858543,    7.0
2024-09-10T123021,   69.212386,   15.858543,    7.0
2024-09-10T123022,   69.212386,   15.858543,    7.0
2024-09-10T123023,   69.212386,   15.858543,    7.0
2024-09-10T123024,   69.212386,   15.858543,    7.0
2024-09-10T123025,   69.212386,   15.858543,    7.0
