# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
Agc,1725970931999,26505000000,,,-1410006123494725623,0.0,4.7680159651737,-112.0,1.0,9,40.70967483520508,1575420000,6
Agc,1725970931999,26505000000,,,-1410006123494725623,0.0,4.7680159651737,-112.0,1.0,9,29.240116119384766,1176450000,6
Agc,1725970931999,26505000000,,,-1410006123494725623,0.0,4.7680159651737,-112.0,1.0,9,62.62626647949219,1561096000,5
Agc,1725970931999,26505000000,,,-1410006123494725623,0.0,4.7680159651737,-112.0,1.0,9,40.70967483520508,1575420000,5
Agc,1725970931999,26505000000,,,-1410006123494725623,0.0,4.7680159651737,-112.0,1.0,9,29.240116119384766,1176450000,5
Agc,1725970932999,27505000000,,,-1410006123494725734,0.0,4.653705775002932,-110.0,1.0,9,39.776634216308594,1575420000,1
Agc,1725970932999,27505000000,,,-1410006123494725734,0.0,4.653705775002932,-110.0,1.0,9,28.544872283935547,1176450000,1
Agc,1725970932999,27505000000,,,-1410006123494725734,0.0,4.653705775002932,-110.0,1.0,9,59.06133270263672,1602000000,3
Agc,1725970932999,27505000000,,,-1410006123494725734,0.0,4.653705775002932,-110.0,1.0,9,39.776634216308594,1575420000,6
Agc,1725970932999,27505000000,,,-1410006123494725734,0.0,4.653705775002932,-110.0,1.0,9,28.544872283935547,1176450000,6
Agc,1725970932999,27505000000,,,-1410006123494725734,0.0,4.653705775002932,-110.0,1.0,9,63.90355682373047,1561096000,5
Agc,1725970932999,27505000000,,,-1410006123494725734,0.0,4.653705775002932,-110.0,1.0,9,39.776634216308594,1575420000,5
Agc,1725970932999,27505000000,,,-1410006123494725734,0.0,4.653705775002932,-110.0,1.0,9,28.544872283935547,1176450000,5
